country,date,cases
Israel,2021-05-01,838481.0
Israel,2021-06-01,839511.0
Israel,2021-07-01,842067.0
Italy,2021-01-01,2129376.0
Italy,2021-02-01,2560957.0
Italy,2021-03-01,2938371.0
Italy,2021-04-01,3607083.0
Italy,2021-05-01,4035617.0
Italy,2021-06-01,4220304.0
Italy,2021-07-01,4260788.0
Jamaica,2021-01-01,12915.0
Jamaica,2021-02-01,15778.0
Jamaica,2021-03-01,23599.0
Jamaica,2021-04-01,39543.0
Jamaica,2021-05-01,45777.0
Jamaica,2021-06-01,48594.0
Jamaica,2021-07-01,50166.0
Japan,2021-01-01,239068.0
Japan,2021-02-01,391956.0
Japan,2021-03-01,432778.0
Japan,2021-04-01,477239.0
Japan,2021-05-01,599253.0
Japan,2021-06-01,749829.0
Japan,2021-07-01,802038.0
Jordan,2021-01-01,295765.0
Jordan,2021-02-01,328062.0
Jordan,2021-03-01,397158.0
Jordan,2021-04-01,618059.0
Jordan,2021-05-01,712077.0
Jordan,2021-06-01,737284.0
Jordan,2021-07-01,751937.0
Kazakhstan,2021-01-01,202060.0
Kazakhstan,2021-02-01,237029.0
Kazakhstan,2021-03-01,263396.0
Kazakhstan,2021-04-01,299626.0
Kazakhstan,2021-05-01,378441.0
Kazakhstan,2021-06-01,444377.0
Kazakhstan,2021-07-01,485352.0
Kenya,2021-01-01,96614.0
Kenya,2021-02-01,100856.0
Kenya,2021-03-01,106125.0
Kenya,2021-04-01,135042.0
Kenya,2021-05-01,160053.0
Kenya,2021-06-01,171084.0
Kenya,2021-07-01,184537.0
Kiribati,2021-01-01,0.0
Kiribati,2021-02-01,0.0
Kiribati,2021-03-01,0.0
Kiribati,2021-04-01,0.0
Kiribati,2021-05-01,0.0
Kiribati,2021-06-01,2.0
Kiribati,2021-07-01,2.0
"Korea, South",2021-01-01,62593.0
"Korea, South",2021-02-01,78844.0
"Korea, South",2021-03-01,90372.0
"Korea, South",2021-04-01,104194.0
"Korea, South",2021-05-01,123240.0
"Korea, South",2021-06-01,141476.0
"Korea, South",2021-07-01,158549.0
Kosovo,2021-01-01,51502.0
Kosovo,2021-02-01,60218.0
Kosovo,2021-03-01,68451.0
Kosovo,2021-04-01,91079.0
Kosovo,2021-05-01,103638.0
Kosovo,2021-06-01,107021.0
Kosovo,2021-07-01,107768.0
Kuwait,2021-01-01,150869.0
Kuwait,2021-02-01,165843.0
Kuwait,2021-03-01,192031.0
Kuwait,2021-04-01,233521.0
Kuwait,2021-05-01,275270.0
Kuwait,2021-06-01,310501.0
Kuwait,2021-07-01,358511.0
Kyrgyzstan,2021-01-01,81156.0
Kyrgyzstan,2021-02-01,84588.0
Kyrgyzstan,2021-03-01,86308.0
Kyrgyzstan,2021-04-01,88538.0
Kyrgyzstan,2021-05-01,95752.0
Kyrgyzstan,2021-06-01,105111.0
Kyrgyzstan,2021-07-01,126395.0
Laos,2021-01-01,41.0
Laos,2021-02-01,44.0
Laos,2021-03-01,45.0
Laos,2021-04-01,49.0
Laos,2021-05-01,821.0
Laos,2021-06-01,1929.0
Laos,2021-07-01,2144.0
Latvia,2021-01-01,41615.0
Latvia,2021-02-01,66652.0
Latvia,2021-03-01,86458.0
Latvia,2021-04-01,103001.0
Latvia,2021-05-01,119370.0
Latvia,2021-06-01,133518.0
Latvia,2021-07-01,137500.0
Lebanon,2021-01-01,183888.0
Lebanon,2021-02-01,303072.0
Lebanon,2021-03-01,376938.0
Lebanon,2021-04-01,471962.0
Lebanon,2021-05-01,527508.0
Lebanon,2021-06-01,540630.0
Lebanon,2021-07-01,545016.0
Lesotho,2021-01-01,3206.0
Lesotho,2021-02-01,8900.0
Lesotho,2021-03-01,10495.0
Lesotho,2021-04-01,10706.0
Lesotho,2021-05-01,10731.0
Lesotho,2021-06-01,10831.0
Lesotho,2021-07-01,11416.0
Liberia,2021-01-01,1779.0
Liberia,2021-02-01,1944.0
Liberia,2021-03-01,2014.0
Liberia,2021-04-01,2042.0
Liberia,2021-05-01,2099.0
Liberia,2021-06-01,2210.0
Liberia,2021-07-01,4304.0
Libya,2021-01-01,100744.0
Libya,2021-02-01,119402.0
Libya,2021-03-01,134127.0
Libya,2021-04-01,159980.0
Libya,2021-05-01,177508.0
Libya,2021-06-01,186072.0
Libya,2021-07-01,193905.0
Liechtenstein,2021-01-01,2175.0
Liechtenstein,2021-02-01,2497.0
Liechtenstein,2021-03-01,2575.0
Liechtenstein,2021-04-01,2675.0
Liechtenstein,2021-05-01,2936.0
Liechtenstein,2021-06-01,3012.0
Liechtenstein,2021-07-01,3039.0
Lithuania,2021-01-01,145430.0
Lithuania,2021-02-01,182898.0
Lithuania,2021-03-01,199398.0
Lithuania,2021-04-01,217005.0
Lithuania,2021-05-01,248655.0
Lithuania,2021-06-01,274776.0
Lithuania,2021-07-01,278809.0
Luxembourg,2021-01-01,46415.0
Luxembourg,2021-02-01,50733.0
Luxembourg,2021-03-01,55480.0
Luxembourg,2021-04-01,61881.0
Luxembourg,2021-05-01,67205.0
Luxembourg,2021-06-01,69983.0
Luxembourg,2021-07-01,70895.0
MS Zaandam,2021-01-01,9.0
MS Zaandam,2021-02-01,9.0
MS Zaandam,2021-03-01,9.0
MS Zaandam,2021-04-01,9.0
MS Zaandam,2021-05-01,9.0
MS Zaandam,2021-06-01,9.0
MS Zaandam,2021-07-01,9.0
Madagascar,2021-01-01,17714.0
Madagascar,2021-02-01,19065.0
Madagascar,2021-03-01,19831.0
Madagascar,2021-04-01,24696.0
Madagascar,2021-05-01,37296.0
Madagascar,2021-06-01,41366.0
Madagascar,2021-07-01,42247.0
Malawi,2021-01-01,6684.0
Malawi,2021-02-01,24365.0
